"year" "name" "acpp" "cc" "fstprp" "fstpp" "gctr" "stpp" "pcpi" "pi" "pop" "gstpp" "cpi" "inflation_factor" "racpp" "rfstpp" "rgctr" "rstpp" "rpi" "rpcpi" "rgstpp"
"399" 1977 "South Dakota" 0.532 115.6 37.6 0.2 9515000 0.12 6510 4485097 688992 0 60.6 0.255981346309814 2.07827643564356 0.781306930693069 37170677.2277228 0.468784158415841 17521186.8546535 25431.5405940594 0
"400" 1977 "Tennessee" 0.548 124.6 38.3 0.21 68265256 0.13 6161 27121191 4401939 0.02 60.6 0.255981346309814 2.14078099009901 0.820372277227723 266680588.191683 0.507849504950495 105949872.484752 24068.16 0.0781306930693069
"401" 1977 "Texas" 0.591 124.2 44.8 0.265 283908123 0.185 7076 93346447 13191790 0 60.6 0.255981346309814 2.30876198019802 1.03523168316832 1109096920.8998 0.722708910891089 364661129.983366 27642.6392079208 0
"402" 1977 "Utah" 0.495 78.9 32.3 0.16 7755816 0.08 6349 8357884 1316421 0.02 60.6 0.255981346309814 1.93373465346535 0.625045544554455 30298363.969901 0.312522772277228 32650363.4756436 24802.5885148515 0.0781306930693069
"403" 1977 "Vermont" 0.525 169.4 38.1 0.2 9674168 0.12 6259 3080373 492174 0 60.6 0.255981346309814 2.05093069306931 0.781306930693069 37792472.5354455 0.468784158415841 12033583.870099 24451.0003960396 0
"404" 1977 "Virginia" 0.428 157.7 24.5 0.105 19842000 0.025 7611 39623172 5205706 0.02 60.6 0.255981346309814 1.67199683168317 0.410186138613861 77513460.5940594 0.0976633663366337 154789294.498218 29732.6352475247 0.0781306930693069
"405" 1977 "Washington" 0.586 99.3 41 0.24 57489163 0.16 8009 30214671 3772360 0.03 60.6 0.255981346309814 2.28922930693069 0.937568316831683 224583407.458218 0.625045544554455 118034659.304554 31287.436039604 0.11719603960396
"406" 1977 "West Virginia" 0.539 133.9 37.1 0.2 29284000 0.12 5979 11393983 1905628 0.02 60.6 0.255981346309814 2.10562217821782 0.781306930693069 114398960.792079 0.468784158415841 44510989.430495 23357.1706930693 0.0781306930693069
"407" 1977 "Wisconsin" 0.571 117.2 42 0.24 86415000 0.16 7381 34051662 4613299 0.02 60.6 0.255981346309814 2.23063128712871 0.937568316831683 337583192.079208 0.625045544554455 133023997.611089 28834.1322772277 0.0781306930693069
"408" 1977 "Wyoming" 0.498 160.4 32.1 0.16 5003000 0.08 8133 3346805 411530 0 60.6 0.255981346309814 1.94545425742574 0.625045544554455 19544392.8712871 0.312522772277228 13074409.7108911 31771.8463366337 0
"409" 1978 "Alabama" 0.568 123 35.2 0.2 54460929 0.12 6572 25197261 3834120 0.02 65.2 0.275412273587456 2.0623626993865 0.726184049079755 197743289.689325 0.435710429447853 91489245.0934969 23862.4078527607 0.0726184049079755
"410" 1978 "Alaska" 0.571 143.6 28 0.16 4676000 0.08 12869 5175727 402191 0 65.2 0.275412273587456 2.0732554601227 0.580947239263804 16978183.0674847 0.290473619631902 18792651.9489571 46726.3126380368 0
"411" 1978 "Arizona" 0.586 124.7 35.8 0.21 37232113 0.13 7720 19438384 2517852 0.02 65.2 0.275412273587456 2.12771926380368 0.762493251533742 135186832.870675 0.47201963190184 70579222.0034356 28030.7042944785 0.0726184049079755
"412" 1978 "Arkansas" 0.584 127.3 44.1 0.258 48463712 0.178 6552 14682928 2241019 0 65.2 0.275412273587456 2.12045742331288 0.936777423312883 175967873.067975 0.646303803680982 53312540.5369325 23789.7894478528 0
"413" 1978 "California" 0.601 126.1 30 0.18 276202000 0.1 9656 220523113 22838960 0.04 65.2 0.275412273587456 2.18218306748466 0.653565644171779 1002867433.61963 0.363092024539877 800701835.570061 35060.1658895706 0.145236809815951
"414" 1978 "Colorado" 0.528 129.2 34.1 0.18 50757000 0.15 8702 24076949 2766725 0 65.2 0.275412273587456 1.91712588957055 0.653565644171779 184294618.895706 0.544638036809816 87421481.5715337 31596.2679754601 0
"415" 1978 "Connecticut" 0.644 117.5 45 0.29 76700000 0.21 9714 30063404 3094839 0 65.2 0.275412273587456 2.33831263803681 1.05296687116564 278491582.822086 0.762493251533742 109157822.229202 35270.7592638037 0
"416" 1978 "Delaware" 0.6 155.5 36.7 0.22 12672000 0.14 8713 5211883 598188 0 65.2 0.275412273587456 2.17855214723926 0.79880245398773 46011021.3496933 0.508328834355828 18923931.5013497 31636.2080981595 0
"417" 1978 "District of Columbia" 0.593 130.3 35.4 0.21 11640000 0.13 11180 7490915 670046 0.03 65.2 0.275412273587456 2.15313570552147 0.762493251533742 42263911.6564417 0.47201963190184 27198914.9300614 40593.6883435583 0.108927607361963
"418" 1978 "Florida" 0.665 133.4 43.6 0.29 236587000 0.21 8122 74169866 9131554 0.03 65.2 0.275412273587456 2.41456196319018 1.05296687116564 859028528.09816 0.762493251533742 269304868.057914 29490.3342331288 0.108927607361963
"419" 1978 "Georgia" 0.566 130.6 35.3 0.2 78514059 0.12 7118 37625620 5286148 0.01 65.2 0.275412273587456 2.05510085889571 0.726184049079755 285078286.371534 0.435710429447853 136615625.403681 25844.8903067485 0.0363092024539877
